#  Howard County, Maryland February-January Minimum Temperature
# Units: Degrees Fahrenheit
Date,Value
189601,40.7
189701,42
189801,42.5
189901,42.9
190001,41.7
190101,43.2
190201,40.8
190301,41.9
190401,40.8
190501,39.2
190601,41.5
190701,42.9
190801,40.1
190901,41.9
191001,40.9
191101,42.3
191201,41.9
191301,42
191401,43.2
191501,40.7
191601,42.1
191701,40.3
191801,38.4
191901,42
192001,41.9
192101,42.1
192201,44.1
192301,43.7
192401,42.3
192501,40.8
192601,42.3
192701,41.1
192801,42.4
192901,42.2
193001,42.2
193101,42.4
193201,45.4
193301,42.5
193401,43.1
193501,41.4
193601,41.8
193701,43.1
193801,41.8
193901,43.3
194001,42.3
194101,41.7
194201,42.2
194301,43.3
194401,41.9
194501,42.1
194601,43.1
194701,43.2
194801,41.1
194901,43.4
195001,44.7
195101,41.5
195201,42.7
195301,43.4
195401,43.2
195501,42.5
195601,42.8
195701,42.5
195801,43.6
195901,41.2
196001,44.3
196101,40.8
196201,43.1
196301,41.1
196401,40.6
196501,41.7
196601,41.9
196701,42
196801,40.4
196901,42.4
197001,41.7
197101,42.8
197201,43.7
197301,42.1
197401,44.6
197501,42.6
197601,43.3
197701,40.6
197801,43.2
197901,41.8
198001,42.7
198101,41.8
198201,42.1
198301,43.3
198401,42.2
198501,43.4
198601,43.8
198701,43.5
198801,43
198901,42.9
199001,43.4
199101,44.9
199201,45.1
199301,43.2
199401,42.2
199501,43.9
199601,42.7
199701,42.9
199801,43.5
199901,45.5
200001,44
200101,43.2
200201,44.3
200301,44.2
200401,43.7
200501,45.4
200601,44.9
200701,45.4
200801,44.5
200901,43.7
201001,44.4
201101,45.2
201201,46.3
201301,46.6
201401,43.4
201501,43
201601,44.5
201701,46.2
201801,45
201901,45.9
202001,46.1
202101,46.4
202201,45.7
202301,45.5
202401,45.7
202501,46.1
